ID,label
0,3
1,3
2,0
3,3
4,5
5,4
6,9
7,3
8,9
9,2
10,5
11,9
12,0
13,5
14,5
15,6
16,1
17,0
18,6
19,2
20,4
21,0
22,8
23,6
24,9
25,6
26,5
27,0
28,6
29,5
30,6
31,5
32,9
33,5
34,4
35,6
36,6
37,1
38,0
39,6
40,1
41,3
42,3
43,8
44,2
45,7
46,6
47,3
48,5
49,3
50,7
51,1
52,2
53,1
54,9
55,7
56,7
57,4
58,1
59,5
60,1
61,8
62,5
63,9
64,3
65,7
66,5
67,9
68,0
69,8
70,4
71,0
72,8
73,7
74,4
75,8
76,9
77,1
78,5
79,2
80,5
81,1
82,6
83,0
84,1
85,1
86,9
87,5
88,1
89,6
90,9
91,4
92,0
93,6
94,4
95,5
96,4
97,2
98,4
99,5
100,2
101,8
102,2
103,2
104,3
105,6
106,2
107,6
108,5
109,4
110,5
111,4
112,9
113,5
114,5
115,9
116,5
117,7
118,8
119,9
120,7
121,5
122,4
123,0
124,5
125,8
126,9
127,4
128,3
129,7
130,1
131,2
132,5
133,4
134,4
135,0
136,3
137,1
138,7
139,0
140,7
141,9
142,4
143,5
144,2
145,9
146,7
147,8
148,3
149,6
150,7
151,1
152,3
153,3
154,5
155,1
156,9
157,1
158,0
159,0
160,0
161,5
162,8
163,4
164,4
165,0
166,8
167,3
168,2
169,0
170,1
171,7
172,6
173,9
174,6
175,9
176,1
177,7
178,5
179,1
180,6
181,8
182,1
183,1
184,7
185,0
186,1
187,6
188,4
189,7
190,2
191,9
192,0
193,9
194,8
195,6
196,9
197,4
198,3
199,1
200,5
201,6
202,2
203,4
204,3
205,1
206,4
207,9
208,9
209,5
210,9
211,8
212,5
213,6
214,9
215,7
216,8
217,1
218,7
219,7
220,7
221,3
222,7
223,7
224,3
225,3
226,5
227,1
228,7
229,9
230,7
231,4
232,8
233,6
234,4
235,2
236,6
237,6
238,9
239,7
240,5
241,0
242,5
243,3
244,1
245,5
246,3
247,2
248,6
249,6
250,7
251,0
252,2
253,1
254,1
255,7
256,3
257,7
258,0
259,5
260,9
261,1
262,1
263,9
264,0
265,1
266,0
267,7
268,5
269,7
270,2
271,2
272,5
273,0
274,8
275,3
276,4
277,3
278,7
279,9
280,8
281,6
282,3
283,4
284,0
285,6
286,4
287,4
288,7
289,5
290,4
291,7
292,3
293,7
294,0
295,0
296,9
297,8
298,4
299,2
300,8
301,3
302,7
303,7
304,6
305,9
306,6
307,2
308,1
309,2
310,1
311,9
312,2
313,5
314,4
315,1
316,8
317,8
318,4
319,4
320,7
321,8
322,7
323,8
324,9
325,1
326,5
327,6
328,9
329,9
330,1
331,5
332,0
333,6
334,3
335,2
336,1
337,3
338,4
339,3
340,0
341,9
342,1
343,8
344,3
345,8
346,9
347,6
348,8
349,7
350,0
351,5
352,6
353,0
354,2
355,1
356,0
357,6
358,0
359,1
360,4
361,7
362,7
363,7
364,7
365,8
366,5
367,1
368,1
369,8
370,0
371,5
372,1
373,2
374,3
375,5
376,1
377,0
378,0
379,4
380,0
381,7
382,8
383,3
384,0
385,7
386,1
387,5
388,7
389,7
390,0
391,9
392,5
393,0
394,3
395,1
396,6
397,5
398,2
399,6
400,9
401,2
402,1
403,8
404,3
405,0
406,4
407,5
408,5
409,4
410,6
411,1
412,7
413,9
414,0
415,8
416,1
417,4
418,8
419,8
420,7
421,1
422,7
423,2
424,4
425,7
426,4
427,6
428,9
429,1
430,2
431,7
432,0
433,6
434,4
435,8
436,8
437,0
438,5
439,9
440,4
441,1
442,2
443,3
444,4
445,7
446,5
447,7
448,1
449,0
450,4
451,1
452,3
453,6
454,7
455,0
456,2
457,3
458,4
459,9
460,0
461,5
462,0
463,3
464,4
465,1
466,8
467,5
468,4
469,2
470,0
471,7
472,7
473,7
474,2
475,2
476,9
477,2
478,7
479,1
480,3
481,8
482,4
483,9
484,0
485,3
486,5
487,5
488,1
489,7
490,5
491,4
492,9
493,3
494,6
495,5
496,6
497,6
498,7
499,9
500,9
501,1
502,8
503,0
504,6
505,7
506,4
507,8
508,8
509,6
510,7
511,7
512,5
513,6
514,4
515,8
516,5
517,1
518,5
519,1
520,2
521,7
522,0
523,7
524,4
525,7
526,5
527,0
528,0
529,8
530,4
531,1
532,7
533,7
534,8
535,9
536,3
537,2
538,5
539,2
540,7
541,3
542,6
543,2
544,4
545,9
546,8
547,0
548,9
549,6
550,7
551,7
552,6
553,8
554,1
555,8
556,5
557,9
558,3
559,1
560,9
561,1
562,3
563,5
564,0
565,2
566,2
567,1
568,7
569,3
570,1
571,3
572,7
573,0
574,5
575,7
576,0
577,0
578,9
579,8
580,2
581,5
582,6
583,6
584,3
585,5
586,6
587,8
588,5
589,1
590,5
591,8
592,4
593,8
594,8
595,1
596,1
597,6
598,1
599,6
600,9
601,6
602,4
603,2
604,8
605,7
606,8
607,2
608,6
609,5
610,2
611,6
612,0
613,2
614,4
615,9
616,2
617,3
618,2
619,6
620,7
621,3
622,6
623,3
624,2
625,1
626,6
627,4
628,6
629,3
630,0
631,3
632,2
633,9
634,6
635,0
636,3
637,3
638,7
639,5
640,1
641,9
642,7
643,9
644,3
645,4
646,0
647,4
648,4
649,3
650,8
651,9
652,8
653,3
654,1
655,5
656,0
657,6
658,3
659,9
660,0
661,1
662,7
663,4
664,1
665,8
666,8
667,0
668,5
669,2
670,1
671,2
672,8
673,9
674,7
675,5
676,7
677,2
678,3
679,4
680,9
681,3
682,6
683,1
684,7
685,1
686,4
687,6
688,4
689,3
690,9
691,0
692,4
693,1
694,8
695,0
696,4
697,1
698,7
699,8
700,3
701,9
702,2
703,0
704,0
705,5
706,8
707,6
708,9
709,0
710,8
711,0
712,0
713,3
714,9
715,7
716,5
717,3
718,2
719,2
720,1
721,9
722,3
723,2
724,9
725,5
726,5
727,2
728,1
729,8
730,4
731,2
732,9
733,7
734,1
735,6
736,6
737,2
738,2
739,0
740,2
741,8
742,9
743,5
744,1
745,6
746,2
747,1
748,3
749,5
750,7
751,4
752,8
753,6
754,5
755,5
756,7
757,5
758,9
759,5
760,8
761,0
762,9
763,4
764,8
765,3
766,3
767,0
768,1
769,0
770,9
771,2
772,1
773,4
774,5
775,4
776,7
777,0
778,1
779,5
780,0
781,5
782,6
783,8
784,9
785,8
786,2
787,8
788,1
789,5
790,6
791,0
792,7
793,5
794,4
795,8
796,7
797,8
798,1
799,6
800,0
801,3
802,4
803,9
804,4
805,4
806,6
807,9
808,4
809,1
810,2
811,5
812,4
813,9
814,3
815,1
816,1
817,8
818,2
819,3
820,5
821,0
822,8
823,9
824,2
825,4
826,4
827,4
828,8
829,6
830,1
831,9
832,9
833,5
834,9
835,6
836,4
837,4
838,1
839,1
840,5
841,1
842,3
843,9
844,0
845,7
846,3
847,3
848,7
849,3
850,8
851,1
852,1
853,3
854,5
855,5
856,9
857,8
858,3
859,9
860,7
861,1
862,5
863,1
864,5
865,9
866,8
867,9
868,1
869,8
870,8
871,3
872,7
873,0
874,1
875,3
876,3
877,3
878,9
879,4
880,8
881,0
